Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
5573605863,"Jun 14, 2021, 4:45:14 PM",Morning Run,Run,,1883,2.76,,,false,,,activities/5931163856.gpx.gz,,,1883.0,845.0,2764.10009765625,4.300000190734863,3.2711243629455566,30.600000381469727,42.599998474121094,-101.5999984741211,-58.20000076293945,31.5,-0.4341377019882202,,,85.0,79.78733825683594,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,2687.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5573608343,"Jun 17, 2021, 4:23:25 PM",Morning Run,Run,,1486,4.70,,,false,,,activities/5931166415.gpx.gz,,,1486.0,1365.0,4701.5,5.199999809265137,3.444322347640991,9.800000190734863,33.79999923706055,-27.600000381469727,6.199999809265137,12.800000190734863,-0.5104753971099854,,,85.0,79.52423095703125,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4672.7001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5573610448,"Jun 19, 2021, 10:34:44 PM",Afternoon Run,Run,,791508,3.23,,,false,,,activities/5931168656.gpx.gz,,,791508.0,926.0,3231.60009765625,4.699999809265137,3.4898488521575928,26.399999618530273,27.0,-140.0,-113.5999984741211,12.100000381469727,-0.01856665499508381,,,84.0,79.29053497314453,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3276.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5574100757,"Jul 4, 2021, 1:23:02 PM",Morning Run,Run,,1808,1.56,,,false,,,activities/5931680710.gpx.gz,,,1808.0,426.0,1562.699951171875,5.900000095367432,3.6683099269866943,0.0,36.0,-40.400001525878906,5.599999904632568,1.7000000476837158,-2.3037052154541016,,,83.0,79.72769927978516,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,1548.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5589801630,"Jul 7, 2021, 2:29:12 PM",Weird Watch Stuff,Run,somehow I gained 659 feet of elevation on an out and back,1690,6.46,,,false,,,activities/5948084917.gpx.gz,,,1690.0,1690.0,6464.89990234375,11.100000381469727,3.8253846168518066,2.059999942779541,2.1600000858306885,33.79999923706055,36.099998474121094,48.599998474121094,-0.001546814339235425,,,84.0,80.36471557617188,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,6468.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5594594014,"Jul 8, 2021, 12:54:05 PM",Morning Run,Run,,1325,4.83,,,false,,,activities/5953077094.gpx.gz,,,1325.0,1325.0,4838.10009765625,4.599999904632568,3.6513962745666504,5.400000095367432,39.0,-2.0,32.0,1.7999999523162842,-0.6944875121116638,,,85.0,80.9154052734375,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4783.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
5634233478,"Jul 15, 2021, 8:21:13 AM",Morning Run,Run,,917,3.44,,,false,,,activities/5994397112.gpx.gz,,,917.0,902.0,3439.800048828125,4.900000095367432,3.813525438308716,21.799999237060547,25.600000381469727,0.800000011920929,9.399999618530273,8.800000190734863,-0.11047153919935226,,,84.0,80.5924301147461,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,3458.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,3.751145124435425,,,,,,,,,,,,,""
5635932203,"Jul 16, 2021, 11:05:45 AM",Afternoon Run,Run,,1287,4.86,,,false,,,activities/5996176515.gpx.gz,,,1287.0,1287.0,4862.89990234375,7.900000095367432,3.778477191925049,11.399999618530273,12.399999618530273,-3.799999952316284,0.20000000298023224,6.099999904632568,-0.02056386135518551,,,82.0,78.940673828125,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,4875.2001953125,,,,,,,,,,,,,,,,,,,,,,,,,,,3.778477191925049,,,,,,,,,,,,,""
5651141736,"Jul 19, 2021, 7:47:23 AM",Morning Run,Run,,1996,5.11,,,false,,,activities/6012097625.gpx.gz,,,1996.0,1700.0,5110.10009765625,5.699999809265137,3.005941152572632,37.79999923706055,46.599998474121094,36.20000076293945,68.80000305175781,12.100000381469727,-0.17220798134803772,,,94.0,79.14959716796875,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5149.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5601704120635986,,,,,,,,,,,,,""
5667294693,"Jul 22, 2021, 6:54:27 AM",Morning Run,Run,,1632,5.08,,,false,,,activities/6028889029.gpx.gz,,,1632.0,1536.0,5084.2998046875,8.100000381469727,3.310091257095337,12.199999809265137,28.200000762939453,376.0,394.0,6.199999809265137,-0.31469425559043884,,,82.0,79.19623565673828,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,5065.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,3.115379810333252,,,,,,,,,,,,,""
