Comment Date,Comment
"Nov 9, 2022, 9:02:21 PM",210 is stupid 
"Nov 12, 2022, 1:41:15 PM",man
"Nov 14, 2022, 3:14:14 PM",if felt like November 
"Nov 17, 2022, 11:14:04 PM",course is definitely long
"Nov 19, 2022, 3:48:22 PM",never 
"Nov 24, 2022, 8:44:58 PM","DPRT is crazy hilly dude, they lied "
"Nov 26, 2022, 6:14:34 PM",uh oh
"Nov 26, 2022, 10:49:27 PM",bruh
"Nov 27, 2022, 11:19:32 PM",o7
"Dec 1, 2022, 9:39:44 PM",#woomgives
"Dec 8, 2022, 11:56:15 PM",Column McArchitecture (bet he's heard that a million times before)
"Dec 11, 2022, 7:37:06 PM",man
"Dec 11, 2022, 7:39:06 PM",cracked
"Dec 17, 2022, 3:40:29 AM",bad state
"Dec 19, 2022, 3:22:29 PM",w
"Dec 21, 2022, 3:26:07 AM",man 😞
"Dec 23, 2022, 12:36:05 AM",run?
"Dec 23, 2022, 5:48:36 PM",how
"Dec 26, 2022, 7:38:22 PM",Morning Run
"Dec 26, 2022, 10:10:53 PM",♥️
"Dec 27, 2022, 12:03:28 AM",🧱
"Dec 28, 2022, 5:37:17 AM",very easy
"Jan 1, 2023, 11:11:59 PM",mfs were all walking on the left today 
"Jan 3, 2023, 10:21:50 PM",oh so you think you can out run squirrels
"Jan 6, 2023, 7:09:01 PM",too early 
"Jan 7, 2023, 7:13:05 PM",kudos 
"Jan 8, 2023, 5:35:05 PM",climbed a tree or 20
"Jan 8, 2023, 5:37:12 PM",how'd you only get 60 feet of elevation gain
"Jan 8, 2023, 5:37:51 PM",more kudos 
"Jan 10, 2023, 12:30:38 AM",why don't you choose to embrace some squirrels been
"Jan 11, 2023, 1:53:03 AM",damn
"Jan 11, 2023, 7:14:35 PM",pov: hills aren't hilly enough 
"Jan 12, 2023, 4:24:42 AM",4:08 pace 👀
"Jan 12, 2023, 7:47:01 PM",correct 
"Jan 13, 2023, 1:47:51 AM",stupid bike
"Jan 17, 2023, 12:29:02 AM",ovals give you strength 
"Jan 20, 2023, 9:42:42 PM",Sunday evening 
"Jan 24, 2023, 1:24:51 PM",no
"Jan 27, 2023, 3:10:46 AM",I can confirm I don't get it
"Jan 29, 2023, 3:52:10 AM",shaking my Ohio
"Jan 30, 2023, 1:33:13 AM",Puddingstone
"Jan 31, 2023, 6:30:08 PM",Not Ivanov pace
"Jan 31, 2023, 6:32:03 PM",how do you have midterms already I haven't even had a test yet
"Jan 31, 2023, 11:53:45 PM",L
"Jan 31, 2023, 11:56:23 PM",glue work goes crazy 
"Feb 1, 2023, 2:34:00 PM",you'd never believe which 400 I lead
"Feb 1, 2023, 2:34:19 PM",led
"Feb 4, 2023, 2:29:49 PM",bagels shmagels
"Feb 4, 2023, 7:35:39 PM",very nice
"Feb 8, 2023, 4:25:23 AM",400th ave
"Feb 11, 2023, 9:48:28 PM","typical afternoon run in Whitewater, Wisconsin "
"Feb 14, 2023, 3:11:39 PM",L
"Feb 18, 2023, 10:23:40 PM",dude was in the Yone Zone
"Feb 19, 2023, 5:58:25 PM",dislike
"Feb 23, 2023, 12:26:35 AM",Big Meaty TSquirrels
"Feb 23, 2023, 1:29:47 PM",Medford type of day 
"Feb 24, 2023, 11:41:05 AM",no it's not 
"Feb 24, 2023, 6:55:26 PM",thank god 🙏
"Feb 25, 2023, 12:25:36 AM",Go do your van de graaf generator 
"Feb 27, 2023, 9:06:56 PM",uh oh sleepy
"Feb 28, 2023, 1:06:55 AM",Moana!?! 
"Mar 1, 2023, 12:00:04 AM",peech
"Mar 3, 2023, 2:08:00 PM",I had the displeasure of living there Alex Evans 
"Mar 3, 2023, 2:49:39 PM",bio medical tengineering
"Mar 3, 2023, 4:45:19 PM",dubious workout 
"Mar 4, 2023, 9:13:34 PM",dude finally got the shirt 
"Mar 4, 2023, 9:14:58 PM",let's go
"Mar 5, 2023, 8:31:01 PM",They wave at Curtis because he's a permanent resident 
"Mar 5, 2023, 11:26:54 PM",your route looks like a squirrel 
"Mar 6, 2023, 1:04:19 AM",thanks Neel that's very sweet 
"Mar 10, 2023, 7:30:24 PM",go ahead get a GNC internship 
"Mar 11, 2023, 1:26:06 PM",^
"Mar 19, 2023, 3:23:35 PM",:|
"Mar 19, 2023, 3:28:39 PM",W Yoment
"Apr 18, 2023, 1:15:11 PM",let's go neeeeeeeeeee! 
"Apr 21, 2023, 6:26:34 PM",Levation
"May 4, 2023, 1:53:54 AM",man
"May 5, 2023, 7:04:20 PM",minusvanov
"May 8, 2023, 8:46:42 PM",bonked 
"May 18, 2023, 7:13:02 PM",definitely was the cut
"May 23, 2023, 7:46:43 PM",no
"May 23, 2023, 11:30:47 PM",no
"May 23, 2023, 11:30:59 PM",(I will when I get back to Palo Alto)
"May 28, 2023, 9:49:19 PM",Ora the explora
"May 30, 2023, 3:59:23 AM",no
"Jun 4, 2023, 2:48:22 AM",me when fish
"Jun 9, 2023, 4:13:12 PM",traffic lights went crazy 
"Jun 9, 2023, 4:13:23 PM",also my bike is fucked
"Jun 13, 2023, 10:22:39 PM",Sean Dutton 
"Jun 14, 2023, 8:21:24 PM",nice
"Jun 14, 2023, 8:21:40 PM",crunchy legs
"Jun 21, 2023, 12:19:20 AM",Chicago mfs when they see a hill: 😳
"Jun 24, 2023, 8:59:29 PM",one of the runs I suppose 
"Jun 29, 2023, 4:28:38 PM",how the turn tables
"Jun 29, 2023, 6:22:49 PM",1:49#?
"Jun 30, 2023, 7:11:28 PM",man. 
"Jul 4, 2023, 12:32:26 AM",new spawn point 
"Jul 4, 2023, 11:14:33 PM",there has to be a better route for you to do
"Jul 5, 2023, 4:09:05 AM",gg
"Jul 7, 2023, 2:24:59 AM",^
"Jul 8, 2023, 4:17:24 PM",accidentally 
"Jul 10, 2023, 10:33:38 PM",fortunately not
"Jul 11, 2023, 11:05:51 PM","only 5,351 calories "
"Jul 12, 2023, 6:46:48 PM",me when my name is Saaketh
"Jul 13, 2023, 4:21:19 PM",I said it was 7:00
"Jul 15, 2023, 5:10:23 PM",most original Strava comment 
"Jul 15, 2023, 5:39:40 PM",classic bay area nature
"Jul 19, 2023, 8:27:40 PM",me when I use open street maps
"Jul 25, 2023, 12:17:38 AM",strides are mileage 
"Aug 2, 2023, 10:52:39 PM","me when I'm ""from Philly"""
"Aug 3, 2023, 2:15:13 PM",this is silly 
"Aug 7, 2023, 1:33:37 AM",cmu invite 
"Aug 17, 2023, 2:34:10 AM",Gao
"Aug 21, 2023, 10:26:25 PM",got so lost I ended up in California 
"Aug 29, 2023, 12:08:17 PM",California man discovers trail that isn't hard packed earth 
"Aug 30, 2023, 9:04:35 PM",a variety of topics 
"Sep 1, 2023, 11:12:17 PM",but has it merged? 
"Sep 4, 2023, 2:13:20 PM",Sean Dutton a classic 
"Sep 10, 2023, 1:19:05 PM",perhaps 🐮
"Sep 14, 2023, 1:43:40 AM",uh oh sleepy 
"Sep 14, 2023, 10:53:04 PM",bad takes 
"Sep 15, 2023, 1:30:55 AM",Need to go back to Novals
"Sep 18, 2023, 12:54:11 AM",baylands loop? 
"Sep 18, 2023, 12:55:59 AM",still early 
"Sep 18, 2023, 12:57:53 AM",crazy cross over 
"Sep 20, 2023, 1:49:01 AM",🗿
"Sep 22, 2023, 1:30:29 AM",Froot
"Sep 23, 2023, 5:35:51 PM",fit
"Sep 23, 2023, 5:53:17 PM",3:12/mile is crazy 
"Sep 23, 2023, 8:59:08 PM",He did not
"Sep 24, 2023, 11:30:52 PM",didn't make it
"Sep 27, 2023, 1:55:30 AM",171m rest
"Sep 28, 2023, 10:06:28 PM",crystal springs in Maine??? 
"Sep 29, 2023, 9:53:53 PM",uh oh sleepy 
"Oct 1, 2023, 2:45:13 PM",The fog is coming 
"Oct 4, 2023, 12:13:28 AM",Season clopener
"Oct 15, 2023, 3:47:13 PM",shlong run
"Oct 15, 2023, 9:31:36 PM",🧱
"Oct 28, 2023, 11:54:54 PM",erance
"Oct 31, 2023, 2:26:37 PM",not the batteries 
"Nov 21, 2023, 1:42:23 PM",dude will taper for anything 
"Nov 23, 2023, 5:18:39 PM",stroke symptoms? 
"Nov 23, 2023, 9:56:05 PM",gobble gobble gobble 🐿️🐿️🐿️
"Nov 25, 2023, 12:36:06 AM",best route in park ridge 
"Nov 25, 2023, 12:36:24 AM",worst route in park ridge 
"Nov 25, 2023, 12:37:22 AM",🦛
"Nov 26, 2023, 7:39:29 PM",menace 
"Dec 6, 2023, 10:38:49 PM",I don't believe you 
"Dec 14, 2023, 7:53:13 PM",yes
"Dec 18, 2023, 6:14:39 PM",Being left in New Jersey is brutal 
"Dec 25, 2023, 8:55:56 PM",Benjamin Huang you can have one for 3.50$
"Dec 26, 2023, 1:04:23 AM",so that you don't melt? 
"Dec 26, 2023, 1:05:11 AM",nyoop
"Jan 3, 2024, 12:35:47 AM",Literally went to check how your workout went today 
"Jan 3, 2024, 1:30:40 AM","Benjamin Huang A ""let fate decide"" because it's my first playthrough man"
"Jan 14, 2024, 7:45:26 PM",David Durdaller on his way to take 4 and a half hours to eat something 
"Jan 14, 2024, 10:10:54 PM",Afternoon Run 😎
"Jan 22, 2024, 5:16:13 PM",unforch 🤝
"Jan 24, 2024, 10:52:14 PM",WHOLESOME 
"Feb 3, 2024, 12:06:35 AM",Pr[obelisk]=?
"Feb 16, 2024, 11:00:55 PM",unforch 🤝
"Feb 18, 2024, 6:24:51 PM",Yorning Yun
"Feb 24, 2024, 3:37:46 PM",No idea
"Mar 5, 2024, 6:30:23 PM",man
"Mar 13, 2024, 1:49:47 AM",oh bang 
"Mar 13, 2024, 1:50:58 AM",get fit quick scheme? 
"Mar 16, 2024, 12:05:58 AM",unforch 🤝
"Mar 17, 2024, 4:46:38 PM",sheesh
"Mar 25, 2024, 1:03:35 AM",oh bang
"Mar 27, 2024, 1:19:27 AM",hate the moist weather 
"Mar 29, 2024, 3:16:02 PM",Yonah meet? 
"Apr 10, 2024, 8:41:38 PM",6+3+2=11
"Apr 10, 2024, 8:41:42 PM",dumbass
"Apr 10, 2024, 11:10:30 PM",Colin McLaughlin Um actually 🤓
"Apr 28, 2024, 7:09:32 PM",oh bang
"May 3, 2024, 5:55:45 PM",oh bang
"May 11, 2024, 4:24:13 PM",I do not support this taper
"May 13, 2024, 5:35:26 PM",drills are mileage 
"May 24, 2024, 1:51:29 AM",yaaketh
"May 24, 2024, 4:50:04 AM",Jacob Hsu man 😞
"May 30, 2024, 1:46:16 AM",Ohio vibes 
"Jun 7, 2024, 8:14:48 PM",simply pick a route with more elevation to get higher 
"Jun 16, 2024, 7:50:17 PM",what happened? 
"Jun 25, 2024, 3:55:18 AM",afraid of other people spoiling. Proceeds to spoil for everyone else
"Jul 7, 2024, 3:11:49 AM",oh I've got plenty of budget 
"Jul 20, 2024, 5:50:54 PM",New Jersey 😞
"Aug 6, 2024, 2:02:58 PM",what 
"Aug 9, 2024, 3:57:50 AM",oh bang
"Aug 20, 2024, 2:02:21 PM",oh bang
"Aug 27, 2024, 1:07:43 AM",usually inflamed? 
"Sep 7, 2024, 4:57:23 PM",have you tried going to bed earlier 
"Sep 17, 2024, 3:32:37 PM",no
"Oct 3, 2024, 2:31:44 PM",he had it coming 
"Oct 3, 2024, 11:54:27 PM",uhhh
"Oct 7, 2024, 2:02:22 AM",crazy impressive 
"Oct 8, 2024, 12:33:05 PM",justified 
"Oct 14, 2024, 9:53:03 PM",next year's our year
"Oct 16, 2024, 1:16:50 AM",missing the fruit loop? 
"Oct 17, 2024, 10:05:42 PM",what
"Oct 17, 2024, 10:07:45 PM",birm is a bad omen
"Oct 20, 2024, 2:01:02 PM",it's about the culture 
"Oct 24, 2024, 1:44:59 AM",I'm going to rotate you Axel Della Porta 
"Oct 29, 2024, 1:40:41 AM",day 1??? 
"Oct 29, 2024, 10:38:54 PM",impossibly 
"Nov 11, 2024, 11:32:00 PM",Manual Methods 
"Nov 12, 2024, 1:39:51 PM",Old man
"Nov 12, 2024, 11:29:57 PM",no
"Nov 13, 2024, 4:22:39 PM",You should double 
"Nov 14, 2024, 4:30:31 PM",if you were Colin they would have waited 
"Nov 16, 2024, 9:51:53 PM",Oh bang
"Nov 26, 2024, 12:13:23 AM",unlikely to happen 
"Nov 26, 2024, 2:44:28 PM",uh
"Nov 26, 2024, 2:45:10 PM",yaaketh
"Nov 29, 2024, 12:54:36 AM",Saaketh reference 
"Dec 3, 2024, 1:40:15 PM",uh
"Dec 6, 2024, 4:59:04 PM",stupid
"Dec 7, 2024, 7:03:00 PM",🤔
"Dec 18, 2024, 1:54:47 AM",firstname lastname Firstname Lastname
"Dec 22, 2024, 8:05:20 PM",huh
"Jan 19, 2025, 4:31:33 PM",what
"Jan 19, 2025, 4:31:51 PM",privacy settings 
"Feb 1, 2025, 2:03:37 AM",old man strength 
"Feb 5, 2025, 1:51:46 PM",I didn't choose units 
"Mar 3, 2025, 2:27:53 AM",charlie reference 
"Mar 5, 2025, 1:55:26 AM",oh bang
"Mar 10, 2025, 1:31:06 PM",new gym? 
"Mar 13, 2025, 1:26:29 AM",I agree
"Mar 16, 2025, 7:11:02 PM",same
"Mar 16, 2025, 11:56:51 PM",oh bang
"Mar 29, 2025, 1:27:55 PM","""the pacer"" "
