Following Athlete ID,Follow Status,Created At
34192755,Accepted,"Nov 18, 2021, 4:41:04 AM"
91883316,Accepted,"Nov 18, 2021, 4:41:13 AM"
52188193,Accepted,"Nov 20, 2021, 1:40:58 AM"
28496267,Accepted,"Nov 21, 2021, 5:13:32 PM"
44824810,Accepted,"Nov 21, 2021, 5:13:35 PM"
25071444,Accepted,"Nov 21, 2021, 5:13:42 PM"
36819134,Accepted,"Nov 22, 2021, 1:09:32 AM"
58980535,Accepted,"Nov 27, 2021, 3:43:05 PM"
29271386,Accepted,"Dec 6, 2021, 12:36:07 AM"
68896853,Accepted,"Dec 11, 2021, 7:47:25 PM"
35367650,Accepted,"Dec 14, 2021, 10:29:45 PM"
53321340,Accepted,"Dec 27, 2021, 3:40:21 AM"
96073251,Accepted,"Dec 27, 2021, 5:17:28 AM"
1386325,Accepted,"Jan 1, 2022, 11:29:05 PM"
96537649,Accepted,"Jan 3, 2022, 5:22:32 AM"
40032927,Accepted,"Jan 15, 2022, 3:59:52 AM"
49460957,Accepted,"Jan 24, 2022, 11:45:25 PM"
22252026,Accepted,"Jan 24, 2022, 11:46:30 PM"
40404934,Accepted,"Jan 28, 2022, 5:01:06 PM"
96705937,Accepted,"Feb 7, 2022, 3:33:16 AM"
32212330,Accepted,"Feb 10, 2022, 4:04:07 PM"
49198551,Accepted,"Mar 2, 2022, 11:37:10 PM"
99773224,Accepted,"Mar 5, 2022, 9:32:26 PM"
99773541,Accepted,"Mar 5, 2022, 9:52:31 PM"
23741467,Accepted,"Mar 11, 2022, 2:00:41 AM"
20980152,Accepted,"Mar 11, 2022, 9:39:42 PM"
41015042,Accepted,"Mar 11, 2022, 9:43:41 PM"
27122387,Accepted,"Mar 12, 2022, 4:00:49 AM"
75878022,Accepted,"Mar 18, 2022, 2:09:51 AM"
45957704,Accepted,"Mar 18, 2022, 11:03:58 PM"
73365401,Accepted,"Mar 19, 2022, 3:51:24 AM"
43847959,Accepted,"Mar 19, 2022, 5:03:55 AM"
90313090,Accepted,"Mar 25, 2022, 9:36:00 PM"
26261323,Accepted,"Apr 13, 2022, 4:39:05 PM"
54393786,Accepted,"Apr 16, 2022, 9:01:01 PM"
3477919,Accepted,"Apr 18, 2022, 12:10:49 PM"
66383612,Accepted,"May 7, 2022, 5:27:08 PM"
32522578,Accepted,"May 17, 2022, 3:06:54 PM"
35183548,Accepted,"Jul 6, 2022, 3:47:47 PM"
105503493,Accepted,"Jul 13, 2022, 12:40:31 PM"
38616256,Accepted,"Jul 14, 2022, 7:51:55 PM"
87346467,Accepted,"Aug 2, 2022, 2:32:19 PM"
25455193,Accepted,"Aug 24, 2022, 6:07:33 PM"
65285815,Accepted,"Aug 25, 2022, 8:48:47 PM"
45786941,Accepted,"Aug 25, 2022, 10:15:17 PM"
39749006,Accepted,"Aug 26, 2022, 7:44:09 PM"
62732080,Accepted,"Aug 31, 2022, 2:17:53 PM"
